worksheet,item,count,item_location,invoice_no,description,agency,pc,peripherals,status,item_user,item_value,purchase_date,install_date,currency,
1,Printer,1,NBO,,Epson LX-300,ACHARYA TRAVEL MAIN,G8GY315185,,Deployed,,70,10/01/10,,USD
1,Printer,2,NBO,,Epson LX-300,ACHARYA TRAVEL MAIN,G8GY549286,,Deployed,,70,10/01/10,,USD
1,Printer,3,NBO,,Epson LX-300,ACHARYA TRAVEL MAIN,G8GY555656,,Deployed,,70,10/01/10,,USD
1,Printer,4,NBO,,Epson LX-303,ACHARYA UPPERHILL,G8GY557190,,Deployed,,70,10/01/10,,USD
1,Printer,5,NBO,,Epson LX-300,AFRICA POINT,G8GY3146L7,,Deployed,,70,10/01/10,,USD,
1,Printer,6,NBO,,Epson LX-300,AFRICAN TOUCH SAFARIS,G8GY555657,,Deployed,,70,10/01/10,,USD,
1,Printer,7,ELD,,Epson LX-300,AFRICAN TOUCH SAFARIS,G8GY556801,,Deployed,,70,10/01/10,,USD,
1,Printer,8,KSM,,Epson LX-300,AFRICAN TOUCH SAFARIS KSM,G8GY742223,,Deployed,,70,10/01/10,,USD,
1,Printer,9,NBO,,Epson LX-300,AFRICAN TROPICAL SAFARIS,G8GY314630,,Deployed,,70,10/01/10,,USD,
1,Printer,10,NBO,,Epson LX-300,AIR MASTERS LTD,G8GY315186,,Deployed,,70,10/01/10,,USD,
1,Printer,11,MBA,,Epson LX-300,AKARIM,G8GY315854,,Deployed,,70,10/01/10,,USD,
1,Printer,12,NBO,,Epson LX-300,AKARIM AGENCIES-EASLEIGH,G8GY314655,,Deployed,,70,10/01/10,,USD,
1,Printer,13,NBO,,Epson LX-300,AKARIM AGENCIES-KICC,G8GY315834,,Deployed,,70,10/01/10,,USD,
1,Printer,14,NBO,,Epson LX-300,AKARIM AGENCIES-KICC,G8GY315856,,Deployed,,70,10/01/10,,USD,
1,Printer,15,MBA,,Epson LX-300,AKARIM KPA,G8GY315195,,Deployed,,70,10/01/10,,USD,
1,Printer,16,NBO,,Epson LX-300,AMAZING TOURS & TRAVEL LTD,G8GY314709,,Deployed,,70,10/01/10,,USD,
1,Printer,17,NBO,,Epson LX-316,AMEET TRAVEL & TOURS LTD,G8GY739989,,Deployed,,70,10/01/10, ,USD,
